,year,month,day,maxwind
254,2016,9,10,41
255,2016,9,11,27
256,2016,9,12,22
257,2016,9,13,19
258,2016,9,14,37
259,2016,9,15,43
260,2016,9,16,36
261,2016,9,17,52
262,2016,9,18,54
263,2016,9,19,44
264,2016,9,20,23
265,2016,9,21,44
266,2016,9,22,46
267,2016,9,23,26
268,2016,9,24,72
269,2016,9,25,41
270,2016,9,26,49
271,2016,9,27,58
272,2016,9,28,46
273,2016,9,29,34
274,2016,9,30,35
336,2016,12,1,70
337,2016,12,2,50
338,2016,12,3,64
339,2016,12,4,59
340,2016,12,5,52
341,2016,12,6,32
342,2016,12,7,38
343,2016,12,8,57
344,2016,12,9,47
345,2016,12,10,27
346,2016,12,11,44
347,2016,12,12,45
348,2016,12,13,43
349,2016,12,14,35
350,2016,12,15,25
351,2016,12,16,25
352,2016,12,17,30
353,2016,12,18,19
354,2016,12,19,22
355,2016,12,20,27
356,2016,12,21,55
357,2016,12,22,60
358,2016,12,23,49
359,2016,12,24,22
360,2016,12,25,51
361,2016,12,26,57
362,2016,12,27,34
363,2016,12,28,61
364,2016,12,29,48
365,2016,12,30,49
366,2016,12,31,40
